,Aircraft,Cabin Staff Service,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
489,Boeing 747,2,May 2018,2.0,4,1.0,no,London to Washington,3,First Class,Solo Leisure,1,
490,Boeing 747,4,May 2018,3.0,3,3.0,yes,Washington to Glasgow via London,4,Economy Class,Solo Leisure,5,
491,Boeing 777-300ER / A320,2,May 2018,1.0,4,1.0,no,Tokyo to Amsterdam via London,2,Economy Class,Solo Leisure,3,
492,A320,1,May 2018,1.0,1,2.0,no,London Heathrow to Vienna,1,Economy Class,Solo Leisure,1,
493,Boeing 747,3,May 2018,4.0,4,1.0,yes,London to Phoenix,4,Business Class,Business,4,1.0
494,A319 / Boeing 777,5,April 2018,5.0,2,4.0,yes,Brussels to Shanghai via London,5,Economy Class,Solo Leisure,5,
495,A380,4,May 2018,3.0,4,3.0,yes,Chicago to London Heathrow,4,Economy Class,Solo Leisure,3,3.0
496,A320 / Boeing 787,4,April 2018,2.0,4,4.0,no,Athens to Philadelphia via London,4,Economy Class,Couple Leisure,3,4.0
497,Boeing 777,5,April 2018,3.0,4,3.0,no,Hong Kong to London,2,Business Class,Couple Leisure,4,
498,A380,5,April 2018,4.0,5,5.0,yes,Los Angeles to London Heathrow,4,Business Class,Solo Leisure,5,
499,A319 / Boeing 787-8,2,May 2018,2.0,1,4.0,no,Hamburg to Abu Dhabi via London,3,Premium Economy,Solo Leisure,2,
500,Boeing 787-8,3,April 2018,3.0,4,4.0,yes,GIG to LHR,4,Business Class,Family Leisure,3,3.0
501,Boeing 747,1,April 2018,1.0,4,2.0,no,London Heathrow to Vancouver,1,Premium Economy,Solo Leisure,2,
502,A380,5,March 2018,4.0,2,3.0,no,Singapore to Dublin via London,2,Business Class,Business,2,
503,,3,April 2018,1.0,2,1.0,no,London to Budapest,3,Economy Class,Couple Leisure,1,1.0
504,Boeing 777-300,4,April 2018,4.0,5,5.0,yes,London to Sao Paulo,4,Business Class,Family Leisure,4,4.0
505,Boeing 777,1,April 2018,1.0,1,1.0,no,Tampa to London Gatwick,1,Business Class,Couple Leisure,1,1.0
506,Boeing 747-400,4,March 2018,4.0,4,4.0,yes,Miami to London,4,Economy Class,Solo Leisure,4,
507,Boeing 747-400,3,April 2018,3.0,3,2.0,no,London Heathrow to Dallas,3,Economy Class,Solo Leisure,2,
508,,3,April 2018,1.0,2,1.0,no,Istanbul to London,3,Economy Class,Business,1,1.0
509,A380,1,April 2018,2.0,1,3.0,no,Los Angeles to London,1,Premium Economy,Family Leisure,1,1.0
510,,1,April 2018,1.0,1,1.0,no,Belfast to London,2,Economy Class,Business,1,1.0
511,Boeing 777-300,1,April 2018,2.0,2,3.0,no,São Paulo to London Heathrow,2,Premium Economy,Family Leisure,2,
512,,2,February 2018,2.0,1,2.0,no,Dallas to Lagos via London Heathrow,2,Premium Economy,Couple Leisure,1,1.0
513,Boeing 777,5,April 2018,2.0,1,2.0,no,London Heathrow to New York JFK,1,Economy Class,Family Leisure,3,
514,Boeing 787-9,5,April 2018,5.0,5,5.0,yes,London Heathrow to Cairo,4,Premium Economy,Family Leisure,5,
515,Boeing 777,2,March 2018,2.0,3,3.0,no,St Lucia to Gatwick,2,Business Class,Couple Leisure,1,
516,Boeing 777-200,3,March 2018,3.0,3,2.0,no,Fort Lauderdale to Gatwick,2,Business Class,Couple Leisure,3,
517,Boeing 747,5,March 2018,4.0,4,3.0,yes,Dubai to London Heathrow,4,Business Class,Family Leisure,4,
518,Boeing 787-9,4,March 2018,4.0,4,3.0,yes,London to Muscat,5,First Class,Solo Leisure,4,
519,Boeing 777-200,4,March 2018,4.0,4,3.0,yes,London Gatwick to Fort Lauderdale,3,Business Class,Couple Leisure,4,
520,Boeing 777,2,March 2018,1.0,1,2.0,no,Bangkok to London,1,Economy Class,Couple Leisure,2,1.0
521,Boeing 777,1,February 2018,1.0,1,3.0,no,Moscow to Heathrow,2,Economy Class,Solo Leisure,3,1.0
522,Boeing 787-9,1,October 2017,1.0,2,1.0,no,London Heathrow to Delhi Airport,4,First Class,Business,1,1.0
523,Boeing 747-400,3,March 2018,3.0,3,1.0,no,Miami to London,2,Economy Class,Business,2,1.0
524,A380,1,March 2018,1.0,1,1.0,no,Singapore to Heathrow,1,Premium Economy,Business,1,
525,Boeing 787,4,February 2018,3.0,4,2.0,yes,London Heathrow to Toronto,3,Economy Class,Solo Leisure,4,
526,A380,1,February 2018,1.0,3,3.0,no,London to Hong Kong,3,Business Class,Business,1,1.0
527,A380,5,February 2018,3.0,5,5.0,yes,Miami to London Heathrow,5,Premium Economy,Solo Leisure,5,
528,Boeing 747,5,July 2017,1.0,1,1.0,no,London to Phoenix,1,First Class,Couple Leisure,1,1.0
529,Boeing 747-400,1,February 2018,1.0,3,1.0,no,Chicago to London Heathrow,1,Business Class,Business,1,1.0
530,Boeing 747,3,February 2018,2.0,3,2.0,no,London Heathrow to Miami,2,Premium Economy,Couple Leisure,2,
531,Boeing 777,5,December 2017,4.0,3,4.0,yes,London to Bombay,4,Economy Class,Solo Leisure,5,
532,A319/320,3,February 2018,2.0,3,1.0,no,Manchester to Gothenburg via London Heathrow,2,Business Class,Couple Leisure,2,1.0
533,,4,January 2018,2.0,2,1.0,no,London to Athens,1,Business Class,Business,1,1.0
534,Boeing 777,3,February 2018,4.0,4,3.0,no,London Gatwick to Cape Town,4,Economy Class,Couple Leisure,3,
535,,1,February 2018,1.0,1,3.0,no,Las Vegas to London Heathrow,2,Economy Class,Couple Leisure,2,1.0
536,Boeing 777,5,February 2018,1.0,4,3.0,no,Orlando to Gatwick,3,Economy Class,Solo Leisure,3,
537,A380,5,January 2018,3.0,5,5.0,yes,London to Johannesburg,5,Economy Class,Solo Leisure,4,
538,Boeing 777,1,February 2018,1.0,2,1.0,no,London to Bengaluru,2,Premium Economy,Solo Leisure,1,
539,Boeing 777-300ER,4,January 2018,4.0,4,5.0,yes,Houston to Dublin via London Heathrow,3,Economy Class,Couple Leisure,5,
540,,4,February 2018,1.0,1,4.0,no,Reykjavik to London,4,Economy Class,Couple Leisure,2,4.0
541,A380,2,January 2018,2.0,1,2.0,no,Singapore to Madrid via London Heathrow,1,Business Class,Business,1,
542,Boeing 777,3,January 2018,3.0,2,2.0,no,Gatwick to Tobago,3,Business Class,Solo Leisure,3,
543,,1,January 2018,3.0,1,1.0,no,Warsaw to London Heathrow,1,Economy Class,Solo Leisure,1,1.0
544,A320,4,December 2017,1.0,1,1.0,no,London to Dusseldorf,2,Economy Class,Solo Leisure,1,1.0
545,Boeing 777-200,5,January 2018,5.0,5,2.0,yes,London to Bangkok,5,Business Class,Couple Leisure,5,2.0
546,A320,5,December 2017,5.0,5,5.0,yes,London Gatwick to Rome Fiumicino,5,Business Class,Solo Leisure,5,
547,Boeing 787-9,5,January 2018,5.0,3,4.0,yes,"San Jose, CA to London Heathrow",4,Business Class,Solo Leisure,4,
548,,1,November 2017,2.0,2,1.0,no,New York to London,1,Economy Class,Family Leisure,1,1.0
549,Boeing 777,4,January 2018,4.0,4,2.0,yes,Bangkok to Aberdeen via Heathrow,3,Economy Class,Solo Leisure,4,
550,Boeing 747-400,5,January 2018,5.0,4,5.0,yes,Chicago to London Heathrow,5,First Class,Solo Leisure,5,
551,Boeing 777-200,4,January 2018,4.0,3,3.0,no,Toronto to London,4,First Class,Couple Leisure,4,
552,Boeing 747,2,January 2018,1.0,1,2.0,no,Las Vegas to Manchester via London,1,Economy Class,Solo Leisure,1,
553,,1,January 2018,1.0,1,1.0,no,Amsterdam to London,1,Economy Class,Solo Leisure,1,1.0
554,A380,5,December 2017,4.0,4,4.0,yes,London to Johannesburg,5,Economy Class,Solo Leisure,4,
555,Boeing 747-400,1,November 2017,1.0,3,2.0,no,London to New York,1,Economy Class,Couple Leisure,2,1.0
556,Boeing 747-400,4,December 2017,4.0,3,3.0,yes,New York to London,4,Economy Class,Family Leisure,3,
557,,4,July 2017,2.0,3,2.0,no,Budapest to Philadelphia via London,2,Business Class,Family Leisure,3,1.0
558,A380,4,December 2017,4.0,5,4.0,yes,London to Hong Kong,4,Premium Economy,Solo Leisure,3,
559,Boeing 777,3,December 2017,1.0,1,3.0,no,London to Houston,3,First Class,Family Leisure,1,
560,,1,December 2017,1.0,1,2.0,no,Las Vegas to London,1,Economy Class,Couple Leisure,1,1.0
561,Boeing 747-400,1,December 2017,2.0,4,1.0,no,Dubai to London Heathrow,2,Economy Class,Solo Leisure,2,
562,Boeing 747-400,1,December 2017,1.0,1,1.0,no,New York to Budapest via London,1,Economy Class,Solo Leisure,1,1.0
563,,1,December 2017,1.0,2,1.0,no,Tokyo Narita to London Heathrow,2,Economy Class,Solo Leisure,1,1.0
564,A320,1,October 2017,1.0,1,1.0,no,London to Pisa,1,Economy Class,Family Leisure,1,1.0
565,A320,1,October 2017,1.0,1,1.0,no,London to Toulouse,1,Economy Class,Family Leisure,1,1.0
566,Boeing 787-900,5,November 2017,4.0,4,4.0,yes,London to Santiago,5,Business Class,Solo Leisure,5,
567,Boeing 777,4,November 2017,4.0,4,3.0,yes,London to Seattle,4,Premium Economy,Solo Leisure,4,
568,Boeing 777,4,November 2017,3.0,4,3.0,yes,Seattle to London,4,Premium Economy,Solo Leisure,4,
569,Boeing 747-400,2,December 2017,3.0,1,2.0,no,Vancouver to Edinburgh via London,2,Economy Class,Business,2,
570,A319,2,November 2017,1.0,4,1.0,no,London to Berlin Tegel,2,First Class,Solo Leisure,2,
571,Boeing 777-200,4,November 2017,2.0,3,2.0,no,London Heathrow to Dubai,3,First Class,Family Leisure,1,
572,Boeing 777-200,2,November 2017,2.0,2,2.0,no,Dubai to London Heathrow,3,First Class,Family Leisure,2,
573,Boeing 777-200,3,November 2017,2.0,4,4.0,no,Saint Lucia to London Gatwick,2,Business Class,Business,2,3.0
574,Boeing 747-400,5,November 2017,5.0,4,5.0,yes,London Heathrow to New York JFK,4,Business Class,Couple Leisure,4,4.0
575,,1,September 2017,1.0,1,1.0,no,Berlin to London City,1,Economy Class,Business,1,1.0
576,Boeing 777,3,October 2017,2.0,2,1.0,no,London Heathrow to Doha,2,Business Class,Couple Leisure,3,1.0
577,Boeing 777-300,1,November 2017,1.0,3,2.0,no,Singapore to Sydney,3,Economy Class,Couple Leisure,2,1.0
578,Boeing 747,5,November 2017,1.0,3,1.0,no,Miami to London Heathrow,1,Economy Class,Couple Leisure,3,
579,Boeing 747-400,1,November 2017,1.0,1,1.0,no,Prague to Washington via London,1,Business Class,Business,1,
580,Boeing 747-400,5,November 2017,5.0,4,3.0,yes,Cape Town to London,4,First Class,Couple Leisure,4,
581,Boeing 777-200 ER,4,September 2017,3.0,5,1.0,no,Bangkok to London Heathrow,2,Premium Economy,Business,3,
582,Boeing 777-200,4,November 2017,5.0,2,4.0,yes,Tel Aviv to London,5,First Class,Solo Leisure,5,1.0
583,Boeing 777-200,4,November 2017,4.0,4,1.0,yes,London to Tel Aviv,5,Business Class,Solo Leisure,5,1.0
584,Boeing 787,3,November 2017,2.0,3,4.0,yes,Kuala Lumpur to Madrid via London,4,Economy Class,Family Leisure,4,
585,,2,November 2017,1.0,1,1.0,no,Baltimore to Rome via London,1,Economy Class,Couple Leisure,1,1.0
586,A380,4,November 2017,4.0,4,3.0,yes,London Heathrow to Johannesburg,4,Business Class,Couple Leisure,4,
587,,1,November 2017,3.0,5,1.0,no,London Heathrow to Brussels,4,Economy Class,Solo Leisure,3,3.0
588,,1,October 2017,1.0,3,3.0,no,London to San Francisco,1,Premium Economy,Solo Leisure,1,3.0
589,Boeing 787,4,January 2017,2.0,2,3.0,no,London Heathrow to Seoul Incheon,3,Business Class,Solo Leisure,3,
590,Boeing 787,3,December 2016,3.0,4,3.0,no,Seoul Incheon to London Heathrow,3,Business Class,Solo Leisure,3,
591,Boeing 747,1,November 2017,1.0,3,1.0,no,Cape Town to London,1,Economy Class,Business,3,
592,Boeing 747,5,October 2017,2.0,4,4.0,yes,London to Philadelphia,4,Business Class,Family Leisure,4,
593,A321,4,August 2017,2.0,2,3.0,no,Düsseldorf to London,3,Economy Class,Business,1,
594,Boeing 787-9,4,November 2017,3.0,4,3.0,yes,London to Santiago,3,Business Class,Couple Leisure,3,
595,Boeing 747-400,3,November 2017,2.0,3,3.0,no,London to New York JFK,2,Business Class,Business,1,1.0
596,Boeing 777-200,4,October 2017,2.0,5,1.0,no,London to Mumbai,3,Business Class,Couple Leisure,1,1.0
597,,1,November 2017,1.0,1,1.0,no,Heathrow to Lyon,1,Economy Class,Business,1,1.0
598,,1,September 2017,1.0,1,1.0,no,Heathrow to Dubai,1,Premium Economy,Solo Leisure,1,1.0
599,Boeing 777,2,October 2017,1.0,2,1.0,no,Tokyo Haneda to Heathrow,1,Economy Class,Solo Leisure,3,1.0
600,Boeing 787-8,2,October 2017,1.0,1,1.0,no,London to Toronto,2,Business Class,Business,2,3.0
601,Boeing 747-400,4,October 2017,3.0,3,4.0,no,New York JFK to London,3,First Class,Business,2,1.0
602,A380,4,July 2017,4.0,4,4.0,yes,Los Angeles to London Heathrow,4,Economy Class,Solo Leisure,4,
603,A380,2,October 2017,2.0,3,2.0,no,Singapore to Nassau via Heathrow,3,Economy Class,Solo Leisure,5,
604,A320,2,October 2017,1.0,2,1.0,no,London to Zurich,2,Economy Class,Business,1,1.0
605,A319,3,October 2017,1.0,4,1.0,yes,Bari to Gatwick,3,Economy Class,Couple Leisure,4,1.0
606,Boeing 747-400,1,September 2017,1.0,1,1.0,no,Las Vegas to London Heathrow,1,First Class,Business,1,
607,A380,1,October 2017,2.0,5,1.0,no,Los Angeles to London Heathrow,4,Economy Class,Solo Leisure,2,1.0
608,,1,October 2017,1.0,1,1.0,no,Malaga to Gatwick,2,Economy Class,Business,2,1.0
609,Boeing 777,2,October 2017,1.0,2,1.0,no,London Heathrow to Bangkok,2,Economy Class,Solo Leisure,2,
610,Boeing 747-400,2,September 2017,4.0,3,2.0,no,Gatwick to Orlando,3,Business Class,Couple Leisure,3,
611,,3,October 2017,1.0,3,1.0,no,London Heathrow  to Madrid,3,Economy Class,Business,2,1.0
612,,2,September 2017,2.0,3,3.0,no,Grand Cayman to London,1,Economy Class,Solo Leisure,2,1.0
613,A380,3,October 2017,1.0,4,4.0,no,Los Angeles to Doha via London,2,Business Class,Business,3,
614,Boeing 777-200 / 787-9 / A319/ 320,3,September 2017,1.0,4,3.0,yes,Toronto to Oslo via London,1,Premium Economy,Business,4,
615,,1,September 2017,1.0,1,1.0,no,Geneva to London,1,Business Class,Business,1,1.0
616,,3,September 2017,1.0,1,1.0,no,London to New York JFK,2,Business Class,Business,2,1.0
617,Boeing 777,5,September 2017,5.0,4,5.0,yes,Port of Spain to Gatwick via St. Lucia,5,Economy Class,Business,4,
618,Boeing 747-400,1,August 2017,1.0,1,1.0,no,London Heathrow to Chicago,1,First Class,Business,1,1.0
619,,1,September 2017,1.0,3,1.0,no,London Heathrow to Kraków,2,Economy Class,Business,3,1.0
620,Boeing 777,2,September 2017,2.0,3,2.0,no,"London Heathrow to Abuja, Nigeria",1,Economy Class,Business,2,2.0
621,Boeing 777,4,September 2017,1.0,3,2.0,no,London to Tokyo Haneda,2,Economy Class,Business,1,
622,A380,5,September 2017,3.0,2,3.0,no,London to Hong Kong,3,Premium Economy,Solo Leisure,3,
623,,1,September 2017,1.0,3,1.0,no,Gatwick to Alicante,1,Economy Class,Family Leisure,1,3.0
624,Boeing 777,1,September 2017,1.0,3,1.0,no,Dubai to London,3,Business Class,Business,1,
625,A320,5,September 2017,4.0,2,2.0,yes,Zakinthos to London Heathrow,4,Business Class,Family Leisure,5,
626,A320,5,August 2017,4.0,5,2.0,yes,London Heathrow to Zakinthos,4,Business Class,Family Leisure,5,
627,A380,5,August 2017,3.0,4,4.0,yes,London to Vancouver,3,Economy Class,Family Leisure,3,
628,Boeing 777-200ER,4,August 2017,2.0,5,4.0,yes,London to Sao Paulo,2,Economy Class,Business,4,
629,Boeing 777,1,September 2017,1.0,4,2.0,no,Bangkok to London,4,Business Class,Solo Leisure,1,
630,Boeing 747-400,2,August 2017,2.0,1,1.0,no,London to Cape Town,2,Business Class,Couple Leisure,2,
631,A321,4,August 2017,2.0,3,1.0,no,London Heathrow to Bucharest,2,Economy Class,Business,2,1.0
632,A321,4,August 2017,2.0,4,1.0,no,London to Bologna,4,Economy Class,Couple Leisure,4,
633,A320,5,August 2017,4.0,4,1.0,yes,London Heathrow to Keflavik,3,Business Class,Business,4,1.0
634,Boeing 777-300,3,August 2017,1.0,2,3.0,no,Tokyo Haneda to London,3,Economy Class,Couple Leisure,2,2.0
635,Boeing 767,1,August 2017,1.0,1,1.0,no,Rome to London,1,Economy Class,Couple Leisure,1,1.0
636,Boeing 747-400,4,August 2017,2.0,3,2.0,no,New York to Cape Town via London,2,First Class,Business,2,1.0
637,Boeing 747,1,August 2017,1.0,2,1.0,no,London to Philadelphia,3,Business Class,Business,1,
638,A320,1,August 2017,1.0,5,1.0,no,Salzburg to Gatwick,2,Economy Class,Solo Leisure,2,1.0
639,,2,August 2017,1.0,2,1.0,no,Toulouse to London Heathrow,3,Economy Class,Couple Leisure,2,1.0
640,A380,4,July 2017,1.0,2,2.0,no,Vancouver to London Heathrow,1,Business Class,Family Leisure,1,
641,Boeing 747-400 / A380,5,August 2017,5.0,4,5.0,yes,Johannesburg to London,5,Premium Economy,Solo Leisure,4,3.0
642,Boeing 747-400,2,August 2017,1.0,3,3.0,no,Oslo to Philadelphia via London,2,Business Class,Solo Leisure,2,
643,A320,2,August 2017,1.0,3,1.0,no,Athens to London,1,Business Class,Family Leisure,1,1.0
644,,4,August 2017,4.0,1,3.0,no,Cairo to Montreal via London,3,Economy Class,Solo Leisure,1,1.0
645,A320,1,August 2017,1.0,2,1.0,no,Gatwick to Paphos,1,Economy Class,Solo Leisure,2,1.0
646,A380,1,August 2017,1.0,4,2.0,no,Vancouver to London Heathrow,3,Economy Class,Solo Leisure,2,
647,A380,1,July 2017,1.0,3,1.0,no,Vancouver to London,2,Premium Economy,Solo Leisure,3,
648,Boeing 747,2,July 2017,1.0,1,1.0,no,London Heathrow to Accra,1,Business Class,Business,1,
649,Boeing 777,3,July 2017,2.0,1,3.0,no,Gatwick to Orlando,4,Economy Class,Family Leisure,3,
650,Boeing 777,2,July 2017,2.0,2,2.0,no,San Diego to London,1,Business Class,Solo Leisure,1,1.0
651,,1,July 2017,1.0,1,1.0,no,Budapest to London,1,Economy Class,Business,1,1.0
652,,2,July 2017,1.0,2,2.0,no,Bergen to London Heathrow,2,Economy Class,Business,1,1.0
653,Boeing 777-300,5,July 2017,5.0,4,5.0,yes,Newcastle to Boston via London,5,Economy Class,Family Leisure,4,
654,Boeing 747,1,July 2017,1.0,2,3.0,no,London Heathrow to New York JFK,2,Economy Class,Couple Leisure,1,
655,A321 / Boeing 777,5,July 2017,4.0,3,,no,Barcelona to Boston via London,2,Business Class,Couple Leisure,1,1.0
656,A321,3,July 2017,1.0,3,1.0,no,London to Madrid,2,Economy Class,Solo Leisure,4,1.0
657,Boeing 747 400,3,July 2017,1.0,1,1.0,no,London Heathrow to Accra,1,Business Class,Business,1,
658,Boeing 777-200,4,July 2017,4.0,4,4.0,yes,Gatwick to Bridgetown,4,Economy Class,Family Leisure,4,
659,Boeing 777,2,July 2017,2.0,1,1.0,no,Dubai to London,4,Business Class,Business,2,
660,Boeing 777-200,3,July 2017,3.0,3,3.0,yes,Mauritius to Gatwick,3,Business Class,Family Leisure,3,
661,Boeing 747,1,July 2017,1.0,2,1.0,no,New York JFK to London Heathrow,1,Business Class,Business,1,
662,A320,2,July 2017,1.0,3,1.0,yes,Athens to London Heathrow,3,Economy Class,Business,3,
663,Boeing 747-400,5,April 2017,5.0,4,4.0,yes,London to Boston,4,Economy Class,Solo Leisure,5,
664,Boeing 777,4,June 2017,1.0,3,2.0,no,Toronto to London Heathrow,1,Business Class,Business,1,
665,Boeing 777,5,July 2017,5.0,5,4.0,yes,London to Tokyo,4,Economy Class,Solo Leisure,5,
666,Boeing 777,3,June 2017,1.0,3,4.0,no,Gatwick to Mauritius,1,Economy Class,Couple Leisure,3,
667,Boeing 777-200,3,July 2017,3.0,4,2.0,yes,Gatwick to Mauritius,3,Business Class,Family Leisure,3,
668,Boeing 767,1,June 2017,1.0,4,1.0,no,London Heathrow to Larnaca,2,Economy Class,Family Leisure,3,1.0
669,,2,July 2017,1.0,1,1.0,no,London to Barcelona,3,Economy Class,Couple Leisure,1,1.0
670,Boeing 747-400,1,July 2017,1.0,2,1.0,no,Accra to London Heathrow,1,Business Class,Business,1,
671,Boeing 787-9,5,June 2017,5.0,5,5.0,yes,Kuala Lumpur to London,5,First Class,Couple Leisure,5,
672,Boeing 747,2,June 2017,1.0,1,1.0,no,Heathrow to Accra,1,Business Class,Business,1,
673,Boeing 787,2,November 2016,3.0,2,4.0,no,Chennai to London,2,Business Class,Couple Leisure,2,
674,Boeing 777,2,June 2017,1.0,2,1.0,no,Beijing to London Heathrow,1,Business Class,Business,2,
675,A319 / A380 / Boeing 737,4,June 2017,4.0,4,4.0,yes,Leeds to Durban via London / Johannesburg,4,Premium Economy,Couple Leisure,4,
676,A380-800,2,June 2017,2.0,4,4.0,no,Singapore to London Heathrow,3,Premium Economy,Solo Leisure,1,
677,Boeing 777-200,3,May 2017,3.0,5,2.0,no,Toronto to London,3,Premium Economy,Solo Leisure,3,
678,A320,1,June 2017,1.0,1,1.0,no,Dublin to Marseille via London,1,Economy Class,Business,1,1.0
679,A380,1,June 2017,1.0,4,5.0,no,Johannesburg to London,4,Premium Economy,Business,2,
680,Boeing 777-200,1,June 2017,1.0,1,1.0,yes,Antigua to Gatwick,1,Premium Economy,Couple Leisure,1,
681,Boeing 777-200,2,June 2017,1.0,2,1.0,no,Gatwick to Antigua,1,Economy Class,Couple Leisure,2,
682,E190,4,June 2017,1.0,2,1.0,no,London City to Milan,2,Business Class,Business,1,
683,Boeing 747 & A319,4,June 2017,2.0,1,3.0,no,Boston to Geneva via Heathrow,2,Premium Economy,Couple Leisure,2,
684,Boeing 747-400,3,June 2017,1.0,1,1.0,no,London to Boston,1,Premium Economy,Business,1,1.0
685,A380,2,April 2017,2.0,2,3.0,no,London Heathrow to Sydney via Singapore,2,Premium Economy,Couple Leisure,1,
686,Boeing 777-300,4,June 2017,4.0,5,4.0,yes,London Heathrow to Hong Kong,4,Premium Economy,Solo Leisure,2,
687,Boeing 747,5,May 2017,2.0,1,2.0,no,London to Dubai,3,First Class,Family Leisure,1,
688,A380,1,June 2017,1.0,4,3.0,no,London to Vancouver,2,Business Class,Business,1,
689,Boeing 787-9,1,June 2017,1.0,3,4.0,no,Tokyo to London Heathrow,3,Premium Economy,Couple Leisure,2,
690,Boeing 747,2,June 2017,1.0,3,1.0,no,Heathrow to Miami,1,Economy Class,Family Leisure,2,
691,Boeing 777,1,May 2017,2.0,3,2.0,no,Lima to London Gatwick,3,Business Class,Couple Leisure,1,
692,A380-800,1,June 2017,2.0,1,5.0,no,London to Johannesburg,1,Economy Class,Couple Leisure,1,
693,,3,April 2017,1.0,3,1.0,no,Tampa to Tirana via Gatwick,2,Economy Class,Business,2,1.0
694,Boeing 747-400,1,May 2017,1.0,1,4.0,no,Chicago to London Heathrow,1,Business Class,Business,1,1.0
695,Boeing 787-9,2,May 2017,1.0,5,3.0,no,London Heathrow to Tokyo Narita,4,First Class,Couple Leisure,1,
696,A320,3,May 2017,1.0,3,1.0,no,Luxembourg to London,2,Business Class,Couple Leisure,2,1.0
697,A319,2,May 2017,1.0,2,1.0,no,Heathrow to Bergen,3,Economy Class,Family Leisure,1,1.0
698,Boeing 787-8,5,May 2017,4.0,3,3.0,no,Seoul to London,4,Business Class,Business,3,
699,,1,May 2017,2.0,3,4.0,no,Los Angeles to London,3,Business Class,Business,3,1.0
700,Boeing 777,4,April 2017,4.0,3,2.0,yes,Gatwick to Lima,4,Business Class,Couple Leisure,4,
701,Boeing 787-9,1,May 2017,1.0,5,5.0,yes,Kuala Lumpur to London,4,Economy Class,Solo Leisure,4,
702,Boeing 787,5,May 2017,5.0,5,5.0,yes,London to Kuala Lumpur,4,Economy Class,Solo Leisure,5,
703,Boeing 747-400,4,May 2017,1.0,1,1.0,no,London Heathrow to Miami,2,Business Class,Business,1,
704,A321 / Boeing 777,3,May 2017,3.0,3,3.0,yes,Moscow to Houston via London,3,Economy Class,Solo Leisure,4,
705,A319,4,April 2017,,4,1.0,no,London to Brussels,3,Economy Class,Business,2,1.0
706,Boeing 747,5,May 2017,5.0,4,4.0,yes,London to San Francisco,4,Economy Class,Couple Leisure,4,
707,A321 / Boeing 777-300,5,April 2017,4.0,3,4.0,yes,Amsterdam to Tokyo via London,4,Economy Class,Couple Leisure,4,
708,Boeing 777-200,2,May 2017,2.0,4,2.0,no,Antigua to Gatwick,3,Business Class,Couple Leisure,3,
709,Boeing 777-200,5,May 2017,5.0,5,3.0,yes,Orlando to Gatwick,5,Economy Class,Family Leisure,5,
710,Boeing 787,4,May 2017,2.0,3,4.0,no,London to Santiago de Chile,3,Business Class,Business,3,
711,Boeing 747-400,1,April 2017,1.0,4,3.0,no,London to Cape Town,1,Economy Class,Couple Leisure,1,
712,Boeing 777,1,May 2017,1.0,1,1.0,no,Rio de Janeiro to London,1,Premium Economy,Couple Leisure,1,
713,Boeing 777-300,4,April 2017,3.0,4,1.0,yes,Gatwick to Antigua,4,Business Class,Couple Leisure,4,
714,A320,5,May 2017,3.0,4,2.0,yes,Berlin Tegel to London,3,Business Class,Business,4,1.0
715,Boeing 777 200/300,1,April 2017,1.0,3,2.0,no,London Heathrow to Bangkok,2,Premium Economy,Business,2,
716,A380 and Boeing 747,5,April 2017,3.0,5,4.0,no,London Heathrow to Miami,4,First Class,Couple Leisure,5,
717,A380,4,May 2017,3.0,5,4.0,yes,Singapore to London Heathrow,3,Economy Class,Business,4,
718,Boeing 747-400,3,April 2017,2.0,3,1.0,no,Glasgow to Chicago via Heathrow,1,Premium Economy,Couple Leisure,1,
719,Boeing 777,3,May 2017,2.0,5,3.0,yes,Hong Kong to London Heathrow,3,Economy Class,Couple Leisure,3,
720,Boeing 777-200,5,April 2017,4.0,5,4.0,yes,London Gatwick to Orlando,5,Economy Class,Family Leisure,5,
721,A380,5,April 2017,5.0,4,5.0,yes,London to Boston,5,Economy Class,Family Leisure,4,
722,Boeing 787-8,4,April 2017,1.0,3,2.0,no,Newark to London Heathrow,3,First Class,Couple Leisure,3,
723,Boeing 777-200,4,April 2017,2.0,4,2.0,no,London to Newark,3,First Class,Couple Leisure,2,
724,A380-800,5,February 2017,5.0,5,5.0,yes,Heathrow to San Francisco,4,Economy Class,Couple Leisure,5,
725,Boeing 777,5,April 2017,5.0,5,5.0,yes,St Lucia to Gatwick,5,Business Class,Couple Leisure,4,
726,,4,April 2017,4.0,3,3.0,yes,London Heathrow to Bangkok,4,Business Class,Couple Leisure,4,3.0
727,A380,3,April 2017,2.0,4,3.0,no,Singapore to London Heathrow,4,Economy Class,Couple Leisure,3,
728,Boeing 777,3,March 2017,1.0,2,1.0,no,Bangkok to London Heathrow,3,Economy Class,Solo Leisure,1,1.0
729,,1,April 2017,1.0,1,1.0,no,Istanbul to London,1,Economy Class,Solo Leisure,1,1.0
730,Boeing 787-8,4,March 2017,2.0,4,3.0,no,London to Seoul,1,Economy Class,Business,2,
731,A380,5,April 2017,5.0,3,4.0,yes,Heathrow to San Francisco,5,Premium Economy,Couple Leisure,5,
732,Boeing 777-300,4,April 2017,3.0,4,3.0,no,Buenos Aires to London,2,Business Class,Business,3,
733,Boeing 777-200ER,5,April 2017,4.0,5,3.0,yes,London LGW to Lima,5,Business Class,Solo Leisure,4,
